employee_id,fullname,nip,years_of_service_months,company_name,area_name,position_name,department_name,division_name,directorate_name,grade_name,education_name,major_name,is_high
EMP100529,Anisa Lukman,868144,46,PT VASKA Wellness,Store,HRBP,Finance,Operations,HR & Corp Affairs,III,D3,Business,0.0
EMP100530,Rizki Lestari Suharto,567757,56,PT VASKA Wellness,HQ,Data Analyst,Marketing,Digital Marketing,HR & Corp Affairs,V,S1,Business,
EMP100531,Bella Erlangga Pratama,286789,1,PT Mandala Distribution Center,Store,Brand Executive,HR,Talent Management,HR & Corp Affairs,V,D3,Design,0.0
EMP100532,Umar Baskara Gunawan,265182,41,PT Lumo Cosmetics Asia,Distribution,Data Analyst,Finance,Sales,HR & Corp Affairs,III,D3,Economics,0.0
EMP100533,Fajar Ananda,208101,19,PT Aurora Beauty Indonesia,Plant,Brand Executive,Marketing,Talent Management,Commercial,V,SMA,Statistics,0.0
EMP100534,Rama Kurniawan,280618,20,PT Mandala Distribution Center,Distribution,HRBP,R&D,Operations,Technology,IV,S2,Statistics,0.0
EMP100535,Wahyu Nabila Saputra,448793,57,PT VASKA Wellness,Plant,Supply Planner,HR,Talent Management,Technology,IV,S2,Business,
EMP100536,Eko Gunawan,354263,79,PT Mandala Distribution Center,Store,Sales Supervisor,Operations,Talent Management,Technology,IV,D3,Business,1.0
EMP100537,Iman Yulianto,641586,34,PT VASKA Wellness,Distribution,Data Analyst,R&D,Digital Marketing,HR & Corp Affairs,III,S2,Design,0.0
EMP100538,Maya Gunawan,761826,39,PT VASKA Wellness,Distribution,Data Analyst,R&D,Product Dev,HR & Corp Affairs,IV,SMA,Engineering,0.0
EMP100539,Teguh Dharma Indrawan,632475,21,PT Lumo Cosmetics Asia,Plant,HRBP,R&D,Talent Management,Technology,III,SMA,Design,0.0
EMP100540,Anisa Halim Ramadhan,179922,47,PT VASKA Wellness,HQ,Finance Officer,IT,Operations,Commercial,V,S2,Psychology,0.0
EMP100541,Dinda Candra Pamungkas,585878,30,PT Lumo Cosmetics Asia,Distribution,Supply Planner,R&D,Talent Management,HR & Corp Affairs,IV,SMA,Business,0.0
EMP100542,Ahmad Situmorang,108424,78,PT Lumo Cosmetics Asia,Distribution,Data Analyst,Operations,Product Dev,Technology,V,S1,Statistics,0.0
EMP100543,Teguh Fadillah Ramadhan,514092,57,PT Lumo Cosmetics Asia,HQ,HRBP,Finance,Sales,HR & Corp Affairs,V,SMA,Design,0.0
EMP100544,Citra Putra,512663,50,PT Mandala Distribution Center,HQ,Sales Supervisor,Marketing,Digital Marketing,Commercial,V,S2,Design,
EMP100545,Adit Firmansyah,424202,54,PT Aurora Beauty Indonesia,HQ,HRBP,Marketing,Sales,HR & Corp Affairs,III,SMA,Statistics,0.0
EMP100546,Nadia Saputra Kusuma,767202,77,PT VASKA Wellness,Store,HRBP,Operations,Digital Marketing,Commercial,V,SMA,Psychology,0.0
EMP100547,Nabila Anggara,508164,28,PT Mandala Distribution Center,Distribution,Finance Officer,IT,Digital Marketing,HR & Corp Affairs,III,S1,Business,0.0
EMP100548,Fajar Suharto,452688,88,PT Mandala Distribution Center,Store,Data Analyst,Marketing,Digital Marketing,Commercial,IV,S2,Economics,1.0
EMP100549,Lestari Aji Subekti,559744,22,PT Aurora Beauty Indonesia,Plant,HRBP,Marketing,Operations,Commercial,V,SMA,Economics,0.0
EMP100550,Hadi Hartanto,391464,68,PT Lumo Cosmetics Asia,Distribution,Finance Officer,IT,Product Dev,HR & Corp Affairs,IV,S2,Psychology,1.0
EMP100551,Mahendra Aji Permadi,124271,33,PT Lumo Cosmetics Asia,Store,Brand Executive,HR,Talent Management,Technology,V,S2,Design,0.0
EMP100552,Vania Syahputra,394697,69,PT Mandala Distribution Center,Plant,Finance Officer,Operations,Product Dev,Commercial,V,D3,Economics,0.0
EMP100553,Lestari Kurniawan,989565,31,PT Lumo Cosmetics Asia,HQ,Data Analyst,IT,Sales,Commercial,IV,D3,Business,0.0
EMP100554,Intan Saputra,233259,83,PT Mandala Distribution Center,Distribution,HRBP,Marketing,Talent Management,Technology,V,D3,Design,1.0
EMP100555,Rani Anugrah Ridwan,236227,2,PT Mandala Distribution Center,Store,Supply Planner,Operations,Operations,Commercial,III,D3,Psychology,0.0
EMP100556,Hadi Rohman,110531,61,PT Lumo Cosmetics Asia,Distribution,Data Analyst,Operations,Talent Management,HR & Corp Affairs,III,S2,Engineering,0.0
EMP100557,Rizka Subekti,442226,59,PT VASKA Wellness,Distribution,Brand Executive,R&D,Sales,HR & Corp Affairs,IV,S1,Business,0.0
EMP100558,Joko Kurniawan,881556,79,PT Lumo Cosmetics Asia,Distribution,Supply Planner,HR,Operations,HR & Corp Affairs,III,SMA,Engineering,
EMP100559,Ayunda Anggara,293095,26,PT Lumo Cosmetics Asia,HQ,Supply Planner,R&D,Talent Management,Technology,IV,SMA,Design,
EMP100560,Adit Zulfikar Hidayat,473938,63,PT Lumo Cosmetics Asia,Store,Brand Executive,R&D,Sales,HR & Corp Affairs,IV,D3,Design,
EMP100561,Valdo Santoso,689781,0,PT Lumo Cosmetics Asia,Store,Supply Planner,Operations,Product Dev,Commercial,III,D3,Economics,0.0
EMP100562,Utami Suharto,666114,24,PT Aurora Beauty Indonesia,HQ,Brand Executive,R&D,Sales,Technology,III,SMA,Engineering,0.0
EMP100563,Dinda Maulida,347632,9,PT Lumo Cosmetics Asia,HQ,Data Analyst,IT,Talent Management,HR & Corp Affairs,IV,S1,Engineering,0.0
EMP100564,Maya Candra Lukman,394860,27,PT VASKA Wellness,Store,Data Analyst,HR,Product Dev,HR & Corp Affairs,V,SMA,Economics,0.0
EMP100565,Anisa Pramudita Maulana,911583,28,PT VASKA Wellness,Distribution,Finance Officer,Operations,Product Dev,HR & Corp Affairs,V,D3,Design,0.0
EMP100566,Rendra Setiawan,661335,95,PT Aurora Beauty Indonesia,Distribution,Supply Planner,Marketing,Operations,Technology,IV,D3,Engineering,0.0
EMP100567,Nurlita Ananda,391102,79,PT VASKA Wellness,Store,Brand Executive,IT,Talent Management,Technology,III,SMA,Business,0.0
EMP100568,Hana Dharma Gunawan,151270,61,PT VASKA Wellness,Plant,Supply Planner,Operations,Sales,Technology,III,S1,Economics,0.0
EMP100569,Zaki Anggara,401004,30,PT Mandala Distribution Center,Plant,Supply Planner,Finance,Talent Management,Commercial,III,S2,Economics,1.0
EMP100570,Dewi Mahardika Purnama,529446,72,PT VASKA Wellness,Plant,Supply Planner,Marketing,Sales,HR & Corp Affairs,V,S2,Statistics,0.0
EMP100571,Yuni Setiawan,809305,40,PT Mandala Distribution Center,Distribution,HRBP,Operations,Product Dev,HR & Corp Affairs,V,S2,Design,1.0
EMP100572,Rama Pradana,621816,53,PT Lumo Cosmetics Asia,Distribution,Data Analyst,Finance,Talent Management,Commercial,IV,D3,Economics,0.0
EMP100573,Arif Pramudita Syahputra,979823,15,PT Aurora Beauty Indonesia,Plant,Data Analyst,IT,Product Dev,HR & Corp Affairs,III,D3,Design,0.0
EMP100574,Kartika Putra,698987,64,PT VASKA Wellness,Plant,Data Analyst,Operations,Digital Marketing,Commercial,V,S2,Design,
EMP100575,Prasetyo Handayani,978825,10,PT Lumo Cosmetics Asia,Plant,HRBP,R&D,Talent Management,HR & Corp Affairs,IV,S1,Statistics,0.0
EMP100576,Andi Wijaya Kusuma,344402,48,PT Lumo Cosmetics Asia,HQ,HRBP,Finance,Operations,HR & Corp Affairs,III,SMA,Statistics,0.0
EMP100577,Umar Anugrah Hidayat,169857,79,PT Mandala Distribution Center,Plant,Data Analyst,IT,Digital Marketing,HR & Corp Affairs,III,S2,Economics,0.0
EMP100578,Teguh Anggara,367278,72,PT Mandala Distribution Center,Distribution,Sales Supervisor,Finance,Sales,HR & Corp Affairs,III,D3,Design,0.0
EMP100579,Yoga Sinaga,451139,55,PT Lumo Cosmetics Asia,Distribution,Supply Planner,IT,Digital Marketing,Commercial,IV,S2,Business,0.0
EMP100580,Adi Lukman,469086,39,PT Aurora Beauty Indonesia,Plant,Finance Officer,HR,Product Dev,Technology,V,S2,Engineering,0.0
EMP100581,Wahyu Dharma Santoso,990199,41,PT Mandala Distribution Center,Distribution,Sales Supervisor,IT,Talent Management,Technology,V,D3,Economics,0.0
EMP100582,Wulan Nabila Fauziah,620375,58,PT VASKA Wellness,Distribution,HRBP,HR,Operations,Technology,V,D3,Design,0.0
EMP100583,Dinda Zulfikar Herlambang,775302,75,PT Mandala Distribution Center,Distribution,Supply Planner,Finance,Sales,HR & Corp Affairs,V,SMA,Psychology,0.0
EMP100584,Satya Ananda,506260,80,PT VASKA Wellness,Plant,Finance Officer,IT,Digital Marketing,Technology,IV,D3,Business,0.0
EMP100585,Indra Rohman,388751,18,PT Mandala Distribution Center,Distribution,Supply Planner,R&D,Product Dev,Technology,III,S2,Engineering,0.0
EMP100586,Adit Hartanto,923680,33,PT Aurora Beauty Indonesia,HQ,HRBP,R&D,Operations,Technology,V,D3,Business,0.0
EMP100587,Nabila Syahputra,173877,54,PT Aurora Beauty Indonesia,Plant,HRBP,IT,Product Dev,Commercial,V,S1,Business,0.0
EMP100588,Intan Rohman,185888,84,PT Aurora Beauty Indonesia,Store,Sales Supervisor,Operations,Sales,HR & Corp Affairs,V,D3,Economics,
EMP100589,Anisa Tri Pamungkas,832493,41,PT VASKA Wellness,Plant,Data Analyst,Marketing,Operations,Commercial,III,D3,Business,0.0
EMP100590,Putri Rachman Hartanto,651557,59,PT VASKA Wellness,Distribution,Sales Supervisor,Marketing,Product Dev,HR & Corp Affairs,IV,S1,Economics,0.0
EMP100591,Kurnia Ginting,535552,52,PT Mandala Distribution Center,Plant,Sales Supervisor,IT,Product Dev,Technology,IV,S1,Engineering,1.0
EMP100592,Galih Handayani,454909,51,PT VASKA Wellness,Distribution,Supply Planner,Marketing,Product Dev,Commercial,V,SMA,Statistics,
EMP100593,Hadi Santoso,718540,12,PT Mandala Distribution Center,HQ,Brand Executive,HR,Sales,Technology,III,SMA,Engineering,0.0
EMP100594,Teguh Sinaga,615125,73,PT Mandala Distribution Center,HQ,HRBP,HR,Product Dev,HR & Corp Affairs,III,D3,Economics,0.0
EMP100595,Lestari Saputra,347680,84,PT VASKA Wellness,Distribution,Data Analyst,Marketing,Operations,HR & Corp Affairs,V,D3,Statistics,0.0
EMP100596,Dimas Aji Hidayat,171964,50,PT Aurora Beauty Indonesia,Store,Supply Planner,Marketing,Sales,Commercial,V,S2,Engineering,0.0
EMP100597,Fajar Maulana,810974,58,PT Aurora Beauty Indonesia,Distribution,Brand Executive,R&D,Operations,Technology,III,S2,Design,0.0
EMP100598,Adit Aji Tamba,330408,39,PT Aurora Beauty Indonesia,Store,Supply Planner,Operations,Operations,Commercial,III,S1,Statistics,0.0
EMP100599,Dimas Kurniawan,545270,16,PT VASKA Wellness,Distribution,Data Analyst,HR,Digital Marketing,Commercial,V,SMA,Business,0.0
EMP100600,Zaki Wijaya,183834,12,PT Mandala Distribution Center,Store,HRBP,HR,Product Dev,Commercial,V,SMA,Psychology,0.0
EMP100601,Nurlita Subekti,916084,70,PT Mandala Distribution Center,HQ,Finance Officer,HR,Operations,HR & Corp Affairs,IV,S1,Design,0.0
EMP100602,Rifqi Ananda,804854,53,PT Mandala Distribution Center,Store,Brand Executive,HR,Digital Marketing,Technology,IV,D3,Business,0.0
EMP100603,Ahmad Handayani,490479,71,PT Lumo Cosmetics Asia,Distribution,Supply Planner,Finance,Talent Management,Technology,V,SMA,Design,0.0
EMP100604,Yoga Lukman,218375,1,PT Lumo Cosmetics Asia,HQ,HRBP,Marketing,Talent Management,Technology,III,S2,Psychology,0.0
EMP100605,Dwi Anggara,969799,73,PT Aurora Beauty Indonesia,Plant,Brand Executive,Marketing,Talent Management,HR & Corp Affairs,V,S2,Economics,1.0
EMP100606,Wulan Candra Saputra,597645,52,PT VASKA Wellness,Distribution,Brand Executive,R&D,Digital Marketing,Technology,III,S1,Economics,0.0
EMP100607,Rifqi Halim,676526,77,PT VASKA Wellness,Store,Sales Supervisor,R&D,Product Dev,HR & Corp Affairs,V,D3,Statistics,0.0
EMP100608,Rani Kurniawan,984426,17,PT Aurora Beauty Indonesia,Store,Supply Planner,R&D,Sales,Commercial,V,SMA,Design,1.0
EMP100609,Oktavia Nabila Ginting,886572,45,PT Mandala Distribution Center,HQ,Supply Planner,IT,Operations,Commercial,V,S2,Psychology,0.0
EMP100610,Hana Rohman,363463,71,PT VASKA Wellness,Store,Brand Executive,Operations,Talent Management,Commercial,V,S2,Engineering,0.0
EMP100611,Indra Sinaga,461530,83,PT Aurora Beauty Indonesia,HQ,Supply Planner,Finance,Operations,Technology,III,D3,Statistics,0.0
EMP100612,Adit Utami,645697,87,PT Aurora Beauty Indonesia,Store,Sales Supervisor,Finance,Product Dev,Commercial,V,S1,Business,0.0
EMP100613,Cahyo Nabila Situmorang,117437,24,PT VASKA Wellness,Plant,Supply Planner,Finance,Sales,Technology,IV,S1,Statistics,0.0
EMP100614,Cahyo Pratama,887756,25,PT Mandala Distribution Center,HQ,Finance Officer,Finance,Product Dev,Commercial,IV,S1,Business,0.0
EMP100615,Ahmad Halim Nugroho,980688,86,PT VASKA Wellness,Distribution,HRBP,Operations,Digital Marketing,Technology,III,SMA,Business,1.0
EMP100616,Nadia Ramadhan,954078,46,PT VASKA Wellness,Store,Finance Officer,HR,Operations,HR & Corp Affairs,IV,SMA,Design,
EMP100617,Eko Rahmawati,649579,32,PT Mandala Distribution Center,Distribution,Brand Executive,Finance,Product Dev,Commercial,V,SMA,Psychology,0.0
EMP100618,Arif Ramadhan,343530,81,PT Aurora Beauty Indonesia,Store,Data Analyst,Finance,Sales,Technology,III,D3,Economics,0.0
EMP100619,Adi Candra Firmansyah,655260,49,PT Lumo Cosmetics Asia,HQ,Brand Executive,HR,Product Dev,Commercial,IV,SMA,Business,0.0
EMP100620,Oka Kusuma,908837,76,PT Mandala Distribution Center,HQ,Finance Officer,Operations,Sales,Commercial,IV,SMA,Economics,0.0
EMP100621,Zahra Fauziah,482321,77,PT Lumo Cosmetics Asia,HQ,Supply Planner,Finance,Digital Marketing,Technology,III,SMA,Psychology,0.0
EMP100622,Ahmad Anugrah Anggara,858526,20,PT Aurora Beauty Indonesia,Plant,Data Analyst,Operations,Operations,Technology,III,D3,Business,0.0
EMP100623,Hadi Simanjuntak,213338,53,PT Aurora Beauty Indonesia,Distribution,Finance Officer,IT,Product Dev,Commercial,V,D3,Design,0.0
EMP100624,Luthfi Firmansyah,839593,38,PT VASKA Wellness,Store,HRBP,R&D,Sales,Commercial,V,D3,Engineering,0.0
EMP100625,Dwi Utami,851937,83,PT Mandala Distribution Center,HQ,HRBP,HR,Operations,Technology,V,S2,Economics,0.0
EMP100626,Arif Nugroho,716358,8,PT VASKA Wellness,Distribution,HRBP,HR,Product Dev,Commercial,V,S1,Statistics,0.0
EMP100627,Hadi Handayani,462656,19,PT Lumo Cosmetics Asia,Plant,Supply Planner,Operations,Sales,HR & Corp Affairs,IV,S2,Design,0.0
EMP100628,Fitri Dharma Siregar,777098,12,PT VASKA Wellness,Store,Sales Supervisor,R&D,Talent Management,Technology,III,S1,Business,0.0
EMP100629,Mahendra Subekti,197973,34,PT VASKA Wellness,Plant,Brand Executive,R&D,Operations,Commercial,V,S1,Business,0.0
EMP100630,Maya Candra Maulida,606823,8,PT Aurora Beauty Indonesia,Distribution,Sales Supervisor,Marketing,Operations,Technology,V,D3,Design,0.0
EMP100631,Zahra Dharma Zulfikar,722067,58,PT Lumo Cosmetics Asia,Plant,HRBP,R&D,Product Dev,Commercial,IV,SMA,Statistics,0.0
EMP100632,Rani Pramudita Suharto,898636,77,PT Aurora Beauty Indonesia,Store,Finance Officer,Marketing,Operations,Technology,IV,S2,Business,0.0
EMP100633,Dewi Setiawan,932462,54,PT Aurora Beauty Indonesia,Store,Sales Supervisor,IT,Sales,Commercial,V,SMA,Design,0.0
EMP100634,Nugroho Pratama,340616,55,PT Lumo Cosmetics Asia,Distribution,Brand Executive,Operations,Product Dev,HR & Corp Affairs,IV,D3,Economics,0.0
EMP100635,Umar Dharma Fauziah,809242,19,PT Aurora Beauty Indonesia,Distribution,HRBP,Operations,Digital Marketing,Technology,IV,D3,Engineering,0.0
EMP100636,Rama Aji Wibowo,416363,76,PT VASKA Wellness,HQ,Finance Officer,HR,Digital Marketing,Technology,V,D3,Statistics,0.0
EMP100637,Rani Adi Simanjuntak,701057,52,PT Lumo Cosmetics Asia,HQ,HRBP,R&D,Digital Marketing,Commercial,V,S2,Engineering,1.0
EMP100638,Budi Yudhistira Permadi,264996,64,PT VASKA Wellness,Distribution,Finance Officer,Marketing,Talent Management,Commercial,V,D3,Design,0.0
EMP100639,Iman Pratama,299914,54,PT VASKA Wellness,HQ,Sales Supervisor,HR,Sales,HR & Corp Affairs,IV,S2,Business,1.0
EMP100640,Dewi Yudhistira Putra,180730,7,PT VASKA Wellness,Distribution,Sales Supervisor,Operations,Sales,HR & Corp Affairs,IV,D3,Economics,0.0
EMP100641,Julia Simanjuntak,446470,70,PT VASKA Wellness,Plant,HRBP,Marketing,Sales,HR & Corp Affairs,IV,S2,Business,0.0
EMP100642,Umar Halim Pradana,851298,69,PT Lumo Cosmetics Asia,Store,Supply Planner,R&D,Operations,Commercial,III,S1,Business,0.0
EMP100643,Dewi Yulianto,762480,64,PT Mandala Distribution Center,Store,Finance Officer,IT,Talent Management,HR & Corp Affairs,III,S1,Psychology,0.0
EMP100644,Ayunda Hartanto,178777,69,PT VASKA Wellness,HQ,Finance Officer,IT,Product Dev,Technology,III,SMA,Design,0.0
EMP100645,Yoga Iqbal Santoso,928180,26,PT Aurora Beauty Indonesia,Distribution,Sales Supervisor,Operations,Sales,Technology,IV,SMA,Psychology,1.0
EMP100646,Oktavia Ananda,994852,62,PT Mandala Distribution Center,HQ,Sales Supervisor,IT,Product Dev,Commercial,III,S2,Design,0.0
EMP100647,Vania Ganesha Ananda,989531,82,PT Lumo Cosmetics Asia,Store,Data Analyst,Operations,Operations,HR & Corp Affairs,III,S1,Statistics,
EMP100648,Sari Mahardika Firmansyah,573542,72,PT Aurora Beauty Indonesia,HQ,Finance Officer,Marketing,Talent Management,HR & Corp Affairs,III,S1,Engineering,0.0
EMP100649,Wahyu Dharma Handayani,181669,48,PT VASKA Wellness,Distribution,Brand Executive,Finance,Sales,HR & Corp Affairs,IV,S1,Statistics,1.0
EMP100650,Rifqi Kurniawan,965520,23,PT Aurora Beauty Indonesia,Store,Data Analyst,Marketing,Talent Management,Technology,IV,S2,Economics,1.0
EMP100651,Novi Pamungkas,926032,56,PT Lumo Cosmetics Asia,Distribution,Brand Executive,IT,Talent Management,HR & Corp Affairs,V,SMA,Economics,0.0
EMP100652,Eko Mahardika Lukman,840203,58,PT Lumo Cosmetics Asia,Store,Supply Planner,IT,Digital Marketing,HR & Corp Affairs,III,SMA,Engineering,1.0
EMP100653,Intan Pratama,581062,0,PT Aurora Beauty Indonesia,Distribution,HRBP,R&D,Talent Management,Commercial,IV,S2,Psychology,
EMP100654,Prasetyo Hidayat,821489,29,PT Lumo Cosmetics Asia,Store,Sales Supervisor,Operations,Product Dev,Technology,III,D3,Statistics,0.0
EMP100655,Novi Lestari,704863,88,PT Mandala Distribution Center,HQ,Sales Supervisor,Marketing,Operations,Commercial,V,S1,Design,0.0
EMP100656,Joko Herlambang,405944,92,PT VASKA Wellness,Store,Sales Supervisor,IT,Product Dev,Commercial,III,D3,Statistics,0.0
EMP100657,Rendra Anugrah Maulida,664536,76,PT Aurora Beauty Indonesia,HQ,HRBP,Finance,Operations,Commercial,V,D3,Engineering,0.0
EMP100658,Nurlita Jatmiko Salsabila,604659,149,PT VASKA Wellness,Distribution,Brand Executive,R&D,Sales,HR & Corp Affairs,III,SMA,Statistics,0.0
EMP100659,Bella Utami,693802,26,PT Lumo Cosmetics Asia,Store,HRBP,HR,Product Dev,Technology,IV,SMA,Statistics,0.0
EMP100660,Anisa Putra,254748,36,PT VASKA Wellness,Distribution,Supply Planner,R&D,Digital Marketing,HR & Corp Affairs,IV,S1,Business,0.0
EMP100661,Budi Siregar,148430,69,PT VASKA Wellness,Plant,Finance Officer,Operations,Operations,Technology,V,SMA,Statistics,0.0
EMP100662,Utami Pratama,461079,67,PT Mandala Distribution Center,Store,Brand Executive,IT,Talent Management,Technology,III,S1,Design,0.0
EMP100663,Rifqi Jatmiko Indrawan,654291,55,PT VASKA Wellness,HQ,Finance Officer,Operations,Product Dev,HR & Corp Affairs,III,SMA,Economics,1.0
EMP100664,Zaki Rachman Putra,577970,19,PT Mandala Distribution Center,Plant,Sales Supervisor,HR,Sales,Commercial,III,S1,Statistics,0.0
EMP100665,Rendra Ridwan,418258,42,PT Lumo Cosmetics Asia,HQ,Sales Supervisor,HR,Operations,Technology,V,S2,Economics,0.0
EMP100666,Evi Sinaga,272544,36,PT Lumo Cosmetics Asia,HQ,Supply Planner,Finance,Digital Marketing,Technology,III,S1,Business,0.0
EMP100667,Rifqi Handayani,921140,109,PT Mandala Distribution Center,HQ,Sales Supervisor,R&D,Digital Marketing,Commercial,V,D3,Design,0.0
EMP100668,Luthfi Yudhistira Rohman,255953,20,PT Aurora Beauty Indonesia,Distribution,Data Analyst,Finance,Sales,HR & Corp Affairs,V,D3,Statistics,
EMP100669,Adi Suharto,916342,79,PT Lumo Cosmetics Asia,Distribution,HRBP,IT,Digital Marketing,HR & Corp Affairs,III,S1,Design,0.0
EMP100670,Rama Tamba,263555,70,PT VASKA Wellness,Distribution,Finance Officer,Marketing,Product Dev,Technology,IV,SMA,Statistics,0.0
EMP100671,Fajar Baskara Rohman,353393,82,PT Aurora Beauty Indonesia,Distribution,Data Analyst,HR,Sales,HR & Corp Affairs,V,S1,Design,0.0
EMP100672,Rani Ridwan,660871,76,PT Lumo Cosmetics Asia,Distribution,HRBP,IT,Product Dev,HR & Corp Affairs,V,S1,Statistics,0.0
EMP100673,Citra Siregar,621920,18,PT VASKA Wellness,HQ,HRBP,HR,Sales,Technology,III,D3,Engineering,0.0
EMP100674,Valdo Handayani,643626,31,PT VASKA Wellness,Plant,Supply Planner,Operations,Talent Management,Commercial,IV,SMA,Statistics,0.0
EMP100675,Fajar Permadi,732697,63,PT VASKA Wellness,Plant,HRBP,IT,Product Dev,Technology,IV,SMA,Statistics,0.0
EMP100676,Rifqi Simanjuntak,471025,54,PT Lumo Cosmetics Asia,Plant,Finance Officer,Operations,Digital Marketing,HR & Corp Affairs,IV,S2,Design,0.0
EMP100677,Rani Halim Saputra,199272,13,PT Lumo Cosmetics Asia,Plant,Brand Executive,IT,Digital Marketing,Commercial,III,SMA,Psychology,0.0
EMP100678,Julia Jatmiko Nugroho,822401,80,PT VASKA Wellness,Distribution,Data Analyst,Marketing,Talent Management,Commercial,IV,S2,Economics,0.0
EMP100679,Gita Sinaga,507462,39,PT Lumo Cosmetics Asia,Store,HRBP,HR,Product Dev,Commercial,IV,S1,Economics,0.0
EMP100680,Nugroho Ramadhan,877201,47,PT Mandala Distribution Center,Plant,Brand Executive,Operations,Product Dev,Commercial,III,S1,Psychology,0.0
EMP100681,Kurnia Simanjuntak,734848,28,PT Aurora Beauty Indonesia,Store,HRBP,R&D,Product Dev,HR & Corp Affairs,V,D3,Economics,
EMP100682,Tania Zulfikar,293915,39,PT Aurora Beauty Indonesia,Store,Finance Officer,IT,Operations,Commercial,IV,D3,Economics,0.0
EMP100683,Rani Qolbi Nugroho,638316,50,PT Aurora Beauty Indonesia,Store,Data Analyst,R&D,Operations,HR & Corp Affairs,IV,S2,Design,0.0
EMP100684,Dian Rahmawati,552672,125,PT VASKA Wellness,Store,Supply Planner,Marketing,Product Dev,Commercial,III,S2,Psychology,1.0
EMP100685,Budi Wijaya Wijaya,957704,73,PT VASKA Wellness,Plant,Supply Planner,Marketing,Operations,Commercial,III,S1,Engineering,0.0
EMP100686,Satya Utami,518513,56,PT VASKA Wellness,Plant,Finance Officer,R&D,Operations,HR & Corp Affairs,III,S1,Statistics,0.0
EMP100687,Gita Erlangga Herlambang,249746,36,PT VASKA Wellness,HQ,Data Analyst,Operations,Sales,Technology,III,S1,Engineering,0.0
EMP100688,Adit Iqbal Kurniawan,441262,40,PT Lumo Cosmetics Asia,Store,HRBP,Finance,Operations,HR & Corp Affairs,V,D3,Economics,0.0
EMP100689,Evi Zulfikar,465532,10,PT Mandala Distribution Center,Plant,HRBP,Finance,Digital Marketing,HR & Corp Affairs,III,S1,Business,0.0
EMP100690,Dian Tri Zulfikar,954330,93,PT Aurora Beauty Indonesia,HQ,Sales Supervisor,Operations,Product Dev,Technology,III,S2,Design,0.0
EMP100691,Dian Utama Hasibuan,760968,38,PT VASKA Wellness,HQ,Supply Planner,Marketing,Sales,Technology,IV,S1,Economics,0.0
EMP100692,Lestari Halim Purnama,675109,35,PT Lumo Cosmetics Asia,HQ,Brand Executive,Operations,Sales,Technology,IV,S1,Statistics,0.0
EMP100693,Hadi Pramudita Zulfikar,702997,39,PT Lumo Cosmetics Asia,Plant,Finance Officer,HR,Product Dev,HR & Corp Affairs,IV,S1,Design,0.0
EMP100694,Julia Hartanto,655096,48,PT Lumo Cosmetics Asia,Distribution,Brand Executive,Operations,Sales,HR & Corp Affairs,IV,S2,Design,0.0
EMP100695,Joko Erlangga Subekti,141046,4,PT VASKA Wellness,Store,Data Analyst,R&D,Talent Management,Commercial,III,D3,Design,0.0
EMP100696,Adi Halim Ananda,996098,80,PT Aurora Beauty Indonesia,Store,Brand Executive,Marketing,Talent Management,Technology,V,S2,Economics,0.0
EMP100697,Teguh Zulfikar Siregar,352728,61,PT VASKA Wellness,Plant,HRBP,Finance,Sales,Technology,V,S2,Psychology,0.0
EMP100698,Hadi Permadi,368125,18,PT VASKA Wellness,Store,HRBP,Finance,Talent Management,HR & Corp Affairs,III,D3,Design,0.0
EMP100699,Kartika Rachman Suharto,844275,15,PT Mandala Distribution Center,Store,Finance Officer,R&D,Sales,HR & Corp Affairs,IV,S2,Design,0.0
EMP100700,Nugroho Ananda,993097,51,PT Aurora Beauty Indonesia,Distribution,Supply Planner,Finance,Operations,HR & Corp Affairs,III,S1,Business,0.0
EMP100701,Rani Fadillah Kusuma,224104,86,PT Aurora Beauty Indonesia,Plant,Data Analyst,HR,Digital Marketing,HR & Corp Affairs,V,S2,Psychology,0.0
EMP100702,Kurnia Utami,693362,76,PT VASKA Wellness,Plant,Brand Executive,HR,Talent Management,HR & Corp Affairs,IV,SMA,Psychology,0.0
EMP100703,Dian Simanjuntak,814302,30,PT Aurora Beauty Indonesia,Distribution,Sales Supervisor,IT,Product Dev,Commercial,V,D3,Engineering,0.0
EMP100704,Kartika Halim Wijaya,707120,44,PT VASKA Wellness,HQ,Finance Officer,IT,Operations,HR & Corp Affairs,V,D3,Design,0.0
EMP100705,Gita Halim,296748,31,PT Lumo Cosmetics Asia,HQ,Data Analyst,Operations,Talent Management,Technology,IV,S2,Design,0.0
EMP100706,Eko Jatmiko Mahendra,657209,76,PT Mandala Distribution Center,HQ,Supply Planner,Finance,Digital Marketing,Commercial,IV,D3,Economics,0.0
EMP100707,Adit Fauziah,967234,86,PT Mandala Distribution Center,Distribution,Supply Planner,R&D,Digital Marketing,Commercial,V,S1,Design,0.0
EMP100708,Dian Hidayat,736986,85,PT Mandala Distribution Center,Store,HRBP,Operations,Product Dev,Technology,V,D3,Psychology,0.0
EMP100709,Citra Pramudita Ginting,665076,33,PT VASKA Wellness,Store,Finance Officer,Finance,Product Dev,Commercial,IV,D3,Psychology,0.0
EMP100710,Adi Wijaya,624872,43,PT Aurora Beauty Indonesia,Plant,Sales Supervisor,Finance,Talent Management,Technology,III,SMA,Business,
EMP100711,Wulan Lestari,717974,13,PT VASKA Wellness,Plant,Supply Planner,Finance,Sales,Technology,III,D3,Statistics,0.0
